Business Name,Description,Industry Code,Industry,Employees,Address,Mailing Address,Distance,Phone,Key Contact,Title,Web Site,Established
Integrated Laser Technology,Computer Services,541500,Computer Systems Design and Related Services,1-4,"448 Whitehead Rd # 3 TRENTON, NJ 08619-3282",,13.6,609-584-1617,Rich Garton,CEO,,2000
Equinox Software Solutions Inc,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,5-9,"12 Kingswood Ct MARLTON, NJ 08053-2557",,13.7,856-810-0244,,,,2000
Systems & Scientific Software,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,5-9,"263 Forrest Ave ELKINS PARK, PA 19027-1938",,13.7,215-885-1573,,,DANIELWILLIAMS.ORG,2015
Qt's Computer Svc,Computer Services,541500,Computer Systems Design and Related Services,1-4,"6330 Foxhill Rd PHILADELPHIA, PA 19120-1018",,13.8,267-816-4721,Quincy Thomas,Owner,QTSCOMPUTERSERVICE.COM,2019
Koodoo Enterprises LLC,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"380 Tavistock Dr MEDFORD, NJ 08055-9261",,13.8,609-000-1111,,,,2022
Craden Peripherals Corp,Computer Services,541500,Computer Systems Design and Related Services,5-9,"5865 Clayton Ave # B PENNSAUKEN, NJ 08109-1351",,13.8,856-488-0700,Ernest Goff,Engr/Tech,CRADEN.COM,2018
Satya Consulting Inc,Computer Integrated Systems Design,541500,Computer Systems Design and Related Services,5-9,"63 Buckingham Pl # 63 CHERRY HILL, NJ 08003-2667",,13.8,908-000-1111,,,,2023
Netimetry Lic,Computers-Networking,541500,Computer Systems Design and Related Services,1-4,"23 Stanwood Ct MEDFORD, NJ 08055-9373","617 Stokes Rd
Medford, NJ 08055-3097",13.9,609-654-2641,William Montney,Owner,NETIMETRY.COM,2003
Computer Image Systems Inc,Information Management,541500,Computer Systems Design and Related Services,1-4,"675 W Maple Ave MERCHANTVILLE, NJ 08109-1819","PO Box 1246
Merchantville, NJ 08109-0246",13.9,856-662-1900,George Coroneos,President,COM-IMAGE.COM,1974
Glows Corp,Computer Related Services NEC,541500,Computer Systems Design and Related Services,1-4,"923 Haddonfield Rd CHERRY HILL, NJ 08002-2752","923 Haddonfield Road Sste 300
Cherry Hill, NJ 08002",13.9,215-000-1111,,,,2022
VB Graphics,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"726 Mayflower Ave LAWRENCE TWP, NJ 08648-4402",,14,609-393-6368,Valerie Baehr,Owner,,2009
Teamlogic IT,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"535 Route 38 CHERRY HILL, NJ 08002-2953",,14,856-238-5655,Stewart Paul,Manager,TEAMLOGICIT.COM,2016
Pro Computer Svc LLC,Computer Services,541500,Computer Systems Design and Related Services,5-9,"182 Tuckerton Rd MEDFORD LAKES, NJ 08055-1346",,14,856-596-4446,,,HELPMEPCS.COM,2018
Coventry Innvtion Advisors LLC,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,1-4,"7487 Coventry Ave ELKINS PARK, PA 19027-3433",,14,412-000-1111,,,,2023
Joulebook Inc,Information Technology Services,541500,Computer Systems Design and Related Services,1-4," MEDFORD, NJ 08055",,14.1,609-388-8369,,,,2020
Colored Girl Productions Inc,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"1657 the Fairway JENKINTOWN, PA 19046-1423",,14.1,215-576-7882,,,,2018
Assetworks Inc,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,5-9,"261 Old York Rd # 305 JENKINTOWN, PA 19046-3709",,14.1,215-354-1078,Gordon Smith,Vice President,ASSETWORKS.COM,2010
New Jersey Web Design Pros,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"541 Nj-33 # 4 TRENTON, NJ 08619",,14.1,609-775-9056,,,,2023
Data Jugglers Computing Inc,Computer Related Services NEC,541500,Computer Systems Design and Related Services,1-4,"617 Stokes Rd # 4-296 MEDFORD, NJ 08055-3097",,14.2,856-354-8222,Lawrence Argabright,CEO,,2004
Netimetry LLC,Information Technology Services,541500,Computer Systems Design and Related Services,1-4,"617 Stokes Rd # 4-155 MEDFORD, NJ 08055-3097","PO Box 23-398
Medford, NJ 08055",14.2,609-654-2641,,,NETIMETRY.COM,2019
Panacea Direct Inc,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"820 Bear Tavern Rd EWING, NJ 08628-1021",,14.2,888-509-6258,,,PANACEADIRECT.COM,2015
Abington Institute of Tech,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"2735 Terwood Rd WILLOW GROVE, PA 19090-1430",,14.2,267-607-5211,Kojo Danso,Administrator,,2018
General Dynamics Info Tech Inc,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,10-99,"3 Executive Campus # 150 CHERRY HILL, NJ 08002-4121",,14.2,856-000-1111,,,,2021
Context,Website Design Service,541500,Computer Systems Design and Related Services,5-9,"415 Davisville Rd WILLOW GROVE, PA 19090-2700",,14.3,215-346-2194,,,EASTERNSTANDARD.COM,2010
Teamlogic IT,Information Technology Services,541500,Computer Systems Design and Related Services,1-4,"93 Old York Rd # 1-531 JENKINTOWN, PA 19046-3925",,14.3,267-454-6009,Stewart Paul,Manager,TEAMLOGICIT.COM,2016
Effectiv Internet Solutions,Computers-System Designers & Consultants,541500,Computer Systems Design and Related Services,5-9,"746 Yorkway Pl JENKINTOWN, PA 19046-2712","746 Yorkway Pl # 1
Jenkintown, PA 19046-2712",14.3,610-567-0063,,,EISOLUTIONS.COM,1997
IDM People,Information Management,541500,Computer Systems Design and Related Services,5-9,"3240 E State Street Ext HAMILTON, NJ 08619-4510",,14.3,609-300-6666,,,IDMPEOPLE.COM,2018
KPG99 Inc,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"3240 E State Street Ext HAMILTON, NJ 08619-4510",,14.3,609-357-4924,Puneet Gulati,CEO,KPG99.COM,2015
Rockbridge Designs,Website Design Service,541500,Computer Systems Design and Related Services,1-4,"7 Peter Rafferty Dr TRENTON, NJ 08690-1817",,14.3,609-631-0609,,,ROCKBRIDGEDESIGNS.COM,2010
Solvix Solutions,Information Technology Services,541500,Computer Systems Design and Related Services,10-99,"201 Glenview Ct MARLTON, NJ 08053-2415",,14.4,856-000-1111,,,SOLVIXSOLUTIONS.COM,2016
I Grind Nation LLC,Website Design Service,541500,Computer Systems Design and Related Services,5-9,"2095 E Willard St PHILADELPHIA, PA 19134-3241",,14.4,267-239-0474,Keith Burroughs,Owner,,2019
Nebulent Inc,Software/Application/Platform Developers & Pr,541500,Computer Systems Design and Related Services,10-99,"55 Kasi Cir WARMINSTER, PA 18974-1653",,14.4,267-408-3699,,,,2011
